"","TX_MUNTY_COLLISION_NL","CD_NIS","CD_ROAD_TYPE_NL","_2017","_2018","_2019","_2020","_2022","_2021","Totaal"
"551","Laarne","42010","Gewestweg",0,0,0,0,1,0,1
"552","Lanaken","73042","Gemeenteweg",0,2,0,1,0,1,3
"553","Lanaken","73042","Gewestweg",0,2,1,0,1,1,4
"554","Landen","24059","Autosnelweg",0,0,1,1,1,0,3
"555","Landen","24059","Gemeenteweg",1,0,1,0,0,0,2
"556","Landen","24059","Gewestweg",0,0,0,0,0,1,0
"557","Langemark-Poelkapelle","33040","Gemeenteweg",0,1,1,1,0,0,3
"558","Le Roeulx","55035","Autosnelweg",1,0,3,0,0,0,4
"559","Le Roeulx","55035","Gemeenteweg",0,1,0,1,1,0,3
"560","Le Roeulx","55035","Gewestweg",0,0,1,0,0,0,1
"561","Lebbeke","42011","Gemeenteweg",1,0,0,0,0,0,1
"562","Lede","41034","Gewestweg",0,0,1,0,0,0,1
"563","Lendelede","34025","Gemeenteweg",1,0,0,0,0,0,1
"564","Lendelede","34025","Gewestweg",0,1,1,0,0,0,2
"565","Lennik","23104","Gemeenteweg",1,0,0,0,0,0,1
"566","Lennik","23104","Gewestweg",0,0,0,1,0,0,1
"567","Lens","53046","Gemeenteweg",0,0,1,0,0,0,1
"568","Lens","53046","Gewestweg",1,0,0,1,0,0,2
"569","Leopoldsburg","71034","Gewestweg",0,1,1,1,0,0,3
"570","Les Bons Villers","52075","Autosnelweg",0,1,0,0,0,0,1
"571","Les Bons Villers","52075","Gemeenteweg",0,0,0,0,1,0,1
"572","Lessen","51069","Gemeenteweg",0,1,0,0,0,0,1
"573","Lessen","51069","Gewestweg",1,1,0,0,0,0,2
"574","Leuven","24062","Autosnelweg",0,1,0,1,0,0,2
"575","Leuven","24062","Gemeenteweg",1,2,1,0,1,1,5
"576","Leuven","24062","Gewestweg",0,1,2,0,0,1,3
"577","Leuze-en-Hainaut","57094","Gemeenteweg",0,0,0,2,0,1,2
"578","Leuze-en-Hainaut","57094","Gewestweg",2,2,1,1,0,2,6
"579","Libin","84035","Autosnelweg",0,0,1,0,0,0,1
"580","Libin","84035","Gemeenteweg",0,0,1,0,1,0,2
"581","Libin","84035","Gewestweg",1,0,1,0,0,0,2
"582","Libramont-Chevigny","84077","Autosnelweg",1,0,2,0,1,0,4
"583","Libramont-Chevigny","84077","Gemeenteweg",0,1,1,0,0,0,2
"584","Libramont-Chevigny","84077","Gewestweg",0,2,1,2,1,0,6
"585","Lichtervelde","36011","Autosnelweg",1,0,0,0,0,0,1
"586","Lier","12021","Gemeenteweg",1,0,0,0,0,0,1
"587","Lier","12021","Gewestweg",1,1,0,1,2,0,5
"588","Lierde","45063","Gemeenteweg",0,0,0,0,1,0,1
"589","Lierde","45063","Gewestweg",0,1,0,0,1,0,2
"590","Lierneux","63045","Gewestweg",1,0,0,0,0,0,1
"591","Lievegem","44085","Gemeenteweg",1,0,0,0,1,0,2
"592","Lijsem","64047","Autosnelweg",0,1,0,0,0,0,1
"593","Lille","13019","Autosnelweg",0,0,0,0,0,1,0
"594","Lille","13019","Gemeenteweg",0,0,0,0,0,1,0
"595","Lille","13019","Gewestweg",1,0,0,1,1,1,3
"596","Limburg","63046","Autosnelweg",0,0,2,0,0,0,2
"597","Limburg","63046","Gewestweg",0,0,0,1,0,0,1
"598","Lobbes","56044","Gemeenteweg",0,0,2,0,1,0,3
"599","Lobbes","56044","Gewestweg",0,1,0,0,1,0,2
"600","Lochristi","44034","Autosnelweg",0,0,0,3,1,2,4
"601","Lochristi","44034","Gemeenteweg",0,1,0,0,0,0,1
"602","Lochristi","44034","Gewestweg",0,0,2,0,0,0,2
"603","Lokeren","46014","Autosnelweg",1,1,0,0,1,0,3
"604","Lokeren","46014","Gemeenteweg",1,1,0,3,0,1,5
"605","Lokeren","46014","Gewestweg",0,1,0,0,1,0,2
"606","Lommel","72020","Gemeenteweg",1,1,0,0,1,2,3
"607","Lommel","72020","Gewestweg",1,3,1,1,2,1,8
"608","Londerzeel","23045","Autosnelweg",0,0,1,0,0,0,1
"609","Londerzeel","23045","Gemeenteweg",0,0,1,0,0,1,1
"610","Lontzen","63048","Autosnelweg",0,0,1,0,0,0,1
"611","Lontzen","63048","Gemeenteweg",0,0,0,0,1,0,1
"612","Lubbeek","24066","Gewestweg",1,0,0,0,0,0,1
"613","Luik","62063","Autosnelweg",1,0,0,0,1,0,2
"614","Luik","62063","Gemeenteweg",4,2,2,4,1,3,13
"615","Luik","62063","Gewestweg",2,4,7,1,4,1,18
"616","Lummen","71037","Autosnelweg",1,0,0,0,0,1,1
"617","Lummen","71037","Gemeenteweg",0,0,1,0,0,0,1
"618","Lummen","71037","Gewestweg",0,2,0,0,1,0,3
"619","Léglise","84033","Gemeenteweg",0,0,0,0,0,1,0
"620","Maarkedal","45064","Gemeenteweg",0,0,0,1,0,0,1
"621","Maarkedal","45064","Gewestweg",0,0,0,0,0,2,0
